exp_id,current_country,sim_weeks,m,gamma,alpha,phi,eta,vacc_eff,beta,prop_vacc,b_p,active_infected,k_min,k_max,comment
1,Israel,24,0.4,0.14285714285714285,0.15625,0.47619047619047616,1,0.95,0.38,0.8,0.5,100,0.1,0.5,Main results
2,Israel,24,0.4,0.2,0.15625,0.47619047619047616,1,0.95,0.38,0.8,0.5,100,0.1,0.5,Sensitivity analysis gamma
3,Israel,24,0.4,0.09090909090909091,0.15625,0.47619047619047616,1,0.95,0.38,0.8,0.5,100,0.1,0.5,Sensitivity analysis gamma
4,Israel,24,0.4,0.14285714285714285,0.3333333333333333,0.47619047619047616,1,0.95,0.38,0.8,0.5,100,0.1,0.5,Sensitivity analysis alpha
5,Israel,24,0.4,0.14285714285714285,0.25,0.47619047619047616,1,0.95,0.38,0.8,0.5,100,0.1,0.5,Sensitivity analysis alpha
6,Israel,24,0.4,0.14285714285714285,0.15625,0.6666666666666666,1,0.95,0.38,0.8,0.5,100,0.1,0.5,Sensitivity analysis phi
7,Israel,24,0.4,0.14285714285714285,0.15625,0.3333333333333333,1,0.95,0.38,0.8,0.5,100,0.1,0.5,Sensitivity analysis phi
8,Israel,24,0.4,0.14285714285714285,0.15625,0.47619047619047616,0.6666666666666666,0.95,0.38,0.8,0.5,100,0.1,0.5,Sensitivity analysis eta
9,Israel,24,0.4,0.14285714285714285,0.15625,0.47619047619047616,0.5,0.95,0.38,0.8,0.5,100,0.1,0.5,Sensitivity analysis eta
10,Israel,24,0.4,0.14285714285714285,0.15625,0.47619047619047616,1,0.95,0.41,0.8,0.5,100,0.1,0.5,Sensitivity analysis beta
11,Israel,24,0.4,0.14285714285714285,0.15625,0.47619047619047616,1,0.95,0.24,0.8,0.5,100,0.1,0.5,Sensitivity analysis beta
12,Israel,24,0.4,0.14285714285714285,0.15625,0.47619047619047616,1,0.95,0.38,0.7,0.5,100,0.1,0.5,Sesitivity analysis % vaccinated
13,Israel,24,0.4,0.14285714285714285,0.15625,0.47619047619047616,1,0.95,0.38,1,0.5,100,0.1,0.5,Sesitivity analysis % vaccinated
14,Israel,24,0.4,0.14285714285714285,0.15625,0.47619047619047616,1,0.95,0.38,0.8,0.8,100,0.1,0.5,Sensitivity analysis b_p
15,Israel,24,0.4,0.14285714285714285,0.15625,0.47619047619047616,1,0.95,0.38,0.8,1,100,0.1,0.5,Sensitivity analysis b_p
